,5k,10k,15k,20k,25k,30k,35k,40k,45k,50k,55k,60k,65k,70k,75k,80k,85k,90k,95k,100k,105k,110k,115k,120k,125k,130k,135k,140k,145k,150k,155k,160k,165k,170k,175k,180k,205k,210k,215k,220k,225k,230k,AVG
Marketing (Avg: 0.261),0.2905982905982906,0.2905982905982906,0.2905982905982906,0.2905982905982906,0.2905982905982906,0.2905982905982906,0.29914529914529914,0.2863247863247863,0.28205128205128205,0.2905982905982906,0.28205128205128205,0.2606837606837607,0.2863247863247863,0.2692307692307692,0.24786324786324787,0.2564102564102564,0.28205128205128205,0.2948717948717949,0.2777777777777778,0.21367521367521367,0.27350427350427353,0.23931623931623933,0.17094017094017094,0.24358974358974358,0.23504273504273504,0.3076923076923077,0.23504273504273504,0.23076923076923078,0.23076923076923078,0.24786324786324787,0.26495726495726496,0.25213675213675213,0.24786324786324787,0.26495726495726496,0.25213675213675213,0.26495726495726496,0.2264957264957265,0.29914529914529914,0.24358974358974358,0.20085470085470086,0.2222222222222222,0.2264957264957265,0.26078551078551077
Jurisprudence (Avg: 0.259),0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.26851851851851855,0.25925925925925924,0.26851851851851855,0.25,0.24074074074074073,0.23148148148148148,0.25925925925925924,0.24074074074074073,0.2777777777777778,0.2222222222222222,0.3055555555555556,0.24074074074074073,0.25925925925925924,0.23148148148148148,0.3148148148148148,0.3055555555555556,0.26851851851851855,0.3148148148148148,0.28703703703703703,0.26851851851851855,0.21296296296296297,0.24074074074074073,0.25925925925925924,0.23148148148148148,0.2222222222222222,0.28703703703703703,0.25925925925925924,0.23148148148148148,0.25925925925925924,0.25,0.28703703703703703,0.28703703703703703,0.21296296296296297,0.25925925925925924,0.23148148148148148,0.28703703703703703,0.25925925925925924
High School World History (Avg: 0.257),0.2742616033755274,0.2742616033755274,0.270042194092827,0.2742616033755274,0.27848101265822783,0.2742616033755274,0.2742616033755274,0.29957805907172996,0.26582278481012656,0.270042194092827,0.2742616033755274,0.29957805907172996,0.2616033755274262,0.2869198312236287,0.25316455696202533,0.24472573839662448,0.26582278481012656,0.25738396624472576,0.270042194092827,0.25738396624472576,0.24050632911392406,0.26582278481012656,0.24472573839662448,0.24050632911392406,0.23628691983122363,0.2616033755274262,0.18565400843881857,0.2869198312236287,0.22362869198312235,0.2109704641350211,0.2489451476793249,0.23628691983122363,0.23628691983122363,0.270042194092827,0.2320675105485232,0.24050632911392406,0.2489451476793249,0.2911392405063291,0.23628691983122363,0.23628691983122363,0.25738396624472576,0.2489451476793249,0.2572835041189472
Computer Security (Avg: 0.257),0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.27,0.28,0.28,0.25,0.28,0.28,0.22,0.29,0.27,0.27,0.28,0.22,0.27,0.29,0.2,0.22,0.28,0.26,0.28,0.3,0.21,0.24,0.23,0.22,0.24,0.26,0.23,0.25,0.26,0.24,0.23,0.22,0.22,0.24,0.24,0.2569047619047619
Conceptual Physics (Avg: 0.252),0.25957446808510637,0.2553191489361702,0.26382978723404255,0.26382978723404255,0.26382978723404255,0.25957446808510637,0.26382978723404255,0.2723404255319149,0.2680851063829787,0.26382978723404255,0.28936170212765955,0.2851063829787234,0.26382978723404255,0.2297872340425532,0.2851063829787234,0.2425531914893617,0.23404255319148937,0.2553191489361702,0.2978723404255319,0.20425531914893616,0.2425531914893617,0.2936170212765957,0.19574468085106383,0.2936170212765957,0.2127659574468085,0.251063829787234,0.2127659574468085,0.28936170212765955,0.25957446808510637,0.2425531914893617,0.26382978723404255,0.2553191489361702,0.26382978723404255,0.2170212765957447,0.2127659574468085,0.2765957446808511,0.25957446808510637,0.26382978723404255,0.19574468085106383,0.23404255319148937,0.2170212765957447,0.2297872340425532,0.2524822695035461
Human Sexuality (Avg: 0.250),0.2595419847328244,0.2595419847328244,0.2595419847328244,0.2595419847328244,0.2595419847328244,0.2595419847328244,0.2366412213740458,0.2595419847328244,0.26717557251908397,0.2595419847328244,0.25190839694656486,0.24427480916030533,0.24427480916030533,0.2748091603053435,0.22900763358778625,0.25190839694656486,0.2595419847328244,0.2900763358778626,0.22137404580152673,0.2366412213740458,0.25190839694656486,0.25190839694656486,0.22137404580152673,0.22900763358778625,0.2366412213740458,0.2595419847328244,0.22137404580152673,0.25190839694656486,0.2824427480916031,0.22900763358778625,0.24427480916030533,0.22900763358778625,0.25190839694656486,0.20610687022900764,0.2366412213740458,0.25190839694656486,0.2900763358778626,0.26717557251908397,0.26717557251908397,0.25190839694656486,0.2748091603053435,0.22900763358778625,0.2504543802253726
College Computer Science (Avg: 0.250),0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.26,0.2,0.25,0.29,0.34,0.24,0.33,0.27,0.3,0.28,0.3,0.22,0.21,0.28,0.16,0.26,0.2,0.28,0.24,0.22,0.3,0.19,0.28,0.24,0.23,0.21,0.24,0.26,0.21,0.22,0.26,0.21,0.21,0.25023809523809526
Professional Psychology (Avg: 0.246),0.25,0.25,0.25,0.25,0.24836601307189543,0.24673202614379086,0.25,0.2581699346405229,0.26143790849673204,0.25,0.26143790849673204,0.23366013071895425,0.26143790849673204,0.2777777777777778,0.25163398692810457,0.25,0.2630718954248366,0.26143790849673204,0.24673202614379086,0.24673202614379086,0.2565359477124183,0.2630718954248366,0.22058823529411764,0.2238562091503268,0.19607843137254902,0.24509803921568626,0.20751633986928106,0.2434640522875817,0.25,0.23039215686274508,0.2434640522875817,0.2549019607843137,0.24019607843137256,0.24019607843137256,0.23039215686274508,0.24183006535947713,0.2434640522875817,0.2630718954248366,0.24836601307189543,0.238562091503268,0.2369281045751634,0.24673202614379086,0.24603174603174605
Professional Law (Avg: 0.246),0.2438070404172099,0.24511082138200782,0.24641460234680573,0.24511082138200782,0.24771838331160365,0.24837027379400262,0.2457627118644068,0.23272490221642764,0.2470664928292047,0.2470664928292047,0.23728813559322035,0.24902216427640156,0.25097783572359844,0.24445893089960888,0.25358539765319427,0.23468057366362452,0.2392438070404172,0.24119947848761408,0.2438070404172099,0.2438070404172099,0.24771838331160365,0.2392438070404172,0.2470664928292047,0.2470664928292047,0.25488917861799215,0.25554106910039115,0.2457627118644068,0.23859191655801826,0.242503259452412,0.23663624511082137,0.2503259452411995,0.25945241199478486,0.24967405475880053,0.2607561929595828,0.23598435462842243,0.25749674054758803,0.2620599739243807,0.24315514993481094,0.2392438070404172,0.23859191655801826,0.24315514993481094,0.24837027379400262,0.24596448748991123
Miscellaneous (Avg: 0.245),0.23754789272030652,0.23754789272030652,0.23754789272030652,0.23754789272030652,0.23754789272030652,0.23754789272030652,0.23499361430395913,0.24010217113665389,0.24010217113665389,0.23754789272030652,0.23116219667943805,0.2503192848020434,0.24010217113665389,0.2222222222222222,0.24648786717752236,0.24010217113665389,0.2503192848020434,0.24648786717752236,0.25287356321839083,0.2567049808429119,0.24648786717752236,0.24648786717752236,0.26309067688378035,0.2554278416347382,0.24904214559386972,0.22988505747126436,0.24393358876117496,0.2567049808429119,0.24393358876117496,0.24265644955300128,0.2554278416347382,0.2567049808429119,0.27330779054916987,0.24904214559386972,0.24776500638569604,0.2413793103448276,0.26309067688378035,0.2247765006385696,0.24648786717752236,0.24776500638569604,0.22349936143039592,0.25287356321839083,0.24463297451803195
